微博用户名,发布时间,微博链接,微博内容,认证标志,转发数,评论数,点赞数
中国宣汉,08月17日 22:48,//weibo.com/5661566460/M1viuDCY9?refer_flag=1001030103_,【愿平安！#重庆涪陵北山坪发生山火#】8月17日晚，重庆涪陵北山坪突发山火，后续情况正在了解中。#涪陵山火#@人民日报 L人民日报的微博视频 ???,blue,0,1,0
方向明_事业,08月17日 22:48,//weibo.com/1245559881/M1viu5xRY?refer_flag=1001030103_,此时此刻，我想唯心的对那些为了新中国成立，牺牲在国民党反动派枪下的革命烈士与爱国人士说一句话：如果你们在天有灵，一定要保佑我们的祖国！我们从未忘记你们的流血牺牲，我们从未忘记你们为了祖国和民族的一腔热忱，我们从未忘记你们对党和党的事业的忠诚！今夜在重庆涪陵突发山火，我们都忧心忡忡；最近气温逐年升高，能源也非常紧急，突发山火将给年轻的消防战士和当地群众，以及相关工作带来压力、困难，烈士们，如果你们在天有灵，希望保佑我们美丽的重庆一切安好，愿这场大火能够减少损失，早点熄灭，愿我们的战士和百姓都能平平安安！请烈士放心，我们不会同国民党反动派“化干戈为玉帛”，我们更不会原谅帝国主义和侵略主义的暴行，我们一定会不断的努力，提高自己，加强安全防范意识和措施，继续提高国家安全意识。烈士们，请安息！一定要相信我们！ 收起d,yellow,0,0,3
X岛-匿名版,08月17日 22:48,//weibo.com/7761800617/M1viphlCZ?refer_flag=1001030103_,#重庆涪陵突发山火#重庆的各位注意安全... ?,yellow,0,0,16
Karen黎开,08月17日 22:47,//weibo.com/5538368781/M1vih6xSV?refer_flag=1001030103_,#重庆涪陵发生山火# 希望家乡平安！山火快灭吧重庆快点降降温吧 ?,yellow,0,0,1
漫山妖娆,08月17日 22:47,//weibo.com/3218013290/M1viguTIR?refer_flag=1001030103_,#重庆涪陵北山坪发生山火#愿平安? ?,yellow,0,0,1
老顽童的记忆微博,08月17日 22:47,//weibo.com/6818200845/M1vidui4J?refer_flag=1001030103_,重庆涪陵区发生山火 消防正在现场扑救 @新浪新闻 O重庆涪陵区发生山火 消防正在现场扑救 ?,yellow,0,0,1
那可是拜可肖哎,08月17日 22:47,//weibo.com/6437915540/M1vicC9Ev?refer_flag=1001030103_,重庆，你再热就真的不礼貌了直接热得嘉陵江都干了，涪陵直接起山火了真的再热就不礼貌了啊? ?,yellow,0,0,0
我的公主不做1,08月17日 22:47,//weibo.com/6306216760/M1viclEVx?refer_flag=1001030103_,#重庆涪陵突发山火#一定要平安?? ?,yellow,0,0,3
·November_Beckoning·,08月17日 22:47,//weibo.com/7598330656/M1vicjrBC?refer_flag=1001030103_,#重庆涪陵突发山火#愿消防人员和当地人民都平安 ?,yellow,0,0,0
别弹他呆毛_好困版zzz_,08月17日 22:47,//weibo.com/2258007675/M1vic1RHy?refer_flag=1001030103_,#重庆涪陵突发山火#平安平安 ?,yellow,0,0,0
四川观察,08月17日 22:47,//weibo.com/3203137375/M1vib6qe8?refer_flag=1001030103_,#重庆涪陵山火最新情况#【重庆涪陵山火仍在扑救中 愿平安！】今天下午，重庆市涪陵区城区周边发生山火。#重庆消防回应涪陵山火#重庆市消防救援总队表示，目前山火仍在扑救过程中，暂无人员伤亡。持续关注，愿平安（央视新闻） ???#涪陵山火# ?,blue,1,14,67
椰汁茄比,08月17日 22:47,//weibo.com/6597678852/M1vi894W0?refer_flag=1001030103_,#涪陵山火#是重庆太热了吧！都要平安? ?,yellow,0,0,1
城北南屿CQ,08月17日 22:47,//weibo.com/6621571737/M1vi67eF0?refer_flag=1001030103_,#涪陵山火# 天干物燥，千万要小心火烛呀！！@涪陵消防119 @重庆消防 一定保护好自己，平安归来！！#愿平安# ?,yellow,0,0,1
amber来一杯果汁,08月17日 22:47,//weibo.com/7040371569/M1vi40X88?refer_flag=1001030103_,#重庆涪陵突发山火#都要平平安安? ?,yellow,0,0,1
直播南京官方版,08月17日 22:47,//weibo.com/1807431510/M1vi45kVH?refer_flag=1001030103_,#涪陵山火#【#重庆涪陵山火仍在扑救中# 愿平安！】今天下午，重庆市涪陵区城区周边发生山火。据了解，目前山火仍在扑救过程中，暂无人员伤亡。持续关注，愿平安！（央视新闻）L央视新闻的微博视频 ???,blue,0,1,1
柚子味儿的小盆友,08月17日 22:47,//weibo.com/7201243640/M1vi3sBaX?refer_flag=1001030103_,#涪陵山火#重庆好热啊我这儿最近都开始降温了希望人员平安 ?,yellow,0,0,0
喜欢清淡的你x,08月17日 22:47,//weibo.com/7267007693/M1vhZmDuE?refer_flag=1001030103_,#重庆涪陵突发山火#  希望平安，希望山火熄灭 ?,yellow,0,0,0
炸毛小朋友0320,08月17日 22:47,//weibo.com/7272744458/M1vhXvLwL?refer_flag=1001030103_,#重庆涪陵突发山火#希望所有人平平安安 ?,yellow,0,0,1
超级温柔的达咩,08月17日 22:46,//weibo.com/7128187653/M1vhUCQZA?refer_flag=1001030103_,#重庆涪陵区突发山火# 愿重庆平安??? ?,yellow,0,0,0
欧拉要早睡早起,08月17日 22:46,//weibo.com/5628602820/M1vhSwA02?refer_flag=1001030103_,敬畏大自然啊。以前自然的警告差不多20年一次，现如今，天灾差不多一年三五次，索取的太多了终将付出代价呀[Sob]好焦心啊！#四川迎来极端高温干旱灾害天气##今年首发最高级别高温红色预警##重庆涪陵发生山火# ?,yellow,0,6,5
Rni67,08月17日 22:46,//weibo.com/7205278071/M1vhSg4R4?refer_flag=1001030103_,#重庆涪陵突发山火#愿平安 ?,yellow,0,0,0
做人民的艺术家JK-,08月17日 22:46,//weibo.com/7626348848/M1vhMAQAh?refer_flag=1001030103_,#重庆涪陵突发山火#涪陵居然上热搜了，愿平安? ?,yellow,0,0,0
安康政法,08月17日 22:46,//weibo.com/6315206710/M1vhG5VU3?refer_flag=1001030103_,【森林发生火灾如何逃生】森林火灾发生后，火势因受地形、植被、气候等因素的影响而瞬息万变，险情哪怕是专业的救火队员，都难以预料，面对突如其来的危险，想要成功逃生，关键是要想办法逃开高危火环境、迅速避险。  ???据人民日报～#涪陵山火##重庆涪陵突发山火#，救援人员都要平安#法姐分享#@四川监狱 @四川消防@法治四川  转给更多人 收起d,blue,0,0,2
一只酸奶刘sweet,08月17日 22:46,//weibo.com/6628749730/M1vhE2W8R?refer_flag=1001030103_,#涪陵山火#大家一定都要平安呀！希望无人员伤亡今年还没去心心念念的重庆呀 2宜宾 ?,yellow,0,0,1
毕节消防,08月17日 22:46,//weibo.com/1912430493/M1vhwo2Yg?refer_flag=1001030103_,#重庆涪陵突发山火#【突遇森林火灾如何自救？这份自救指南请收好】①判断风向，逆风方向才是逃生方向；②不要往山顶方向跑；③用湿毛巾捂住口鼻，选择植被稀疏的路线；④若不幸引火上身，踩灭火苗或翻滚把火苗压灭。自救招数只能提高生存几率，提醒：千万不要在森林防火高危期违反野外用火规定！#消防云课堂##涪陵山火# L央视新闻的酷燃视频 2毕节 收起d,blue,2,19,21
不加糖的小兔纸奶糖丶,08月17日 22:45,//weibo.com/3158348207/M1vhw38NB?refer_flag=1001030103_,短暂的育儿假休完了，这几天某小只更粘我啦。今天下班回家，看到我哭得稀里哗啦的。呃……也有可能是没睡醒，有起床气。这天气太热了，遭不住。重庆热得突发山火，场景好吓人，希望消防员都平平安安的。晚上没忍住，又煮了一包螺蛳粉，这个一般般，还是觉得李子柒的好吃些。 收起d,yellow,0,0,0
菜好难吃啊啊啊,08月17日 22:45,//weibo.com/7777569630/M1vhq9CdH?refer_flag=1001030103_,#重庆涪陵突发山火#一定平平安安！ ?,yellow,0,0,0
袁妙不可b妍,08月17日 22:45,//weibo.com/7501384773/M1vhkg5vV?refer_flag=1001030103_,#涪陵山火#重庆突发山火，天气干燥，火势凶猛！又辛苦消防官兵及扑救人员了，愿平安，早点扑灭！ L袁妙不可b妍的微博视频 ?,yellow,0,3,10
全接触热榜,08月17日 22:45,//weibo.com/6215179048/M1vhi9NMc?refer_flag=1001030103_,【愿平安！#重庆涪陵突发山火#】记者从重庆涪陵市民获悉，8月17日晚，涪陵北山坪突发山火，后续情况正在了解中 L全接触热榜的微博视频 ?,yellow,0,0,1
小小小小小小小小小艾佳,08月17日 22:45,//weibo.com/5919017737/M1vhhhF7W?refer_flag=1001030103_,#重庆涪陵突发山火#只求都平安 L你是我前进的希望的微博视频 ?,yellow,0,0,1
福建日报,08月17日 22:45,//weibo.com/3365993480/M1vhfyu9P?refer_flag=1001030103_,#涪陵山火#【愿平安！#重庆涪陵突发山火#】记者从重庆涪陵市民获悉，8月17日晚，涪陵北山坪突发山火，后续情况正在了解中。（人民日报）  L人民日报的微博视频 ?,blue,0,0,4
賛多喜欢吃香菜,08月17日 22:45,//weibo.com/6234169058/M1vhfsZCn?refer_flag=1001030103_,#重庆涪陵突发山火#涪陵我老家啊望平安? ?,yellow,0,0,1
大庆市中级人民法院,08月17日 22:45,//weibo.com/3876342106/M1vhdpZJ7?refer_flag=1001030103_,大庆中级法院【愿平安！#重庆涪陵突发山火#】记者从重庆涪陵市民获悉，8月17日晚，涪陵北山坪突发山火，后续情况正在了解中。（人民日报）  L人民日报的微博视频 ???,blue,9,8,4
咸鱼蝎子,08月17日 22:45,//weibo.com/1554871907/M1vharBub?refer_flag=1001030103_,#涪陵山火#赶紧下雨吧重庆 快遭不住了就是说 我一个晚上从来不开空调睡觉的人今年都开到四五点钟了 ?,yellow,0,0,1
一朵娇花mi,08月17日 22:45,//weibo.com/6611327403/M1vhab6UY?refer_flag=1001030103_,#重庆涪陵突发山火#天佑我涪陵，早点扑灭大火，无人伤亡，消防员都平安归来???? ?,yellow,0,0,0
海南日报,08月17日 22:45,//weibo.com/3204782330/M1vh7ib97?refer_flag=1001030103_,【#重庆涪陵山火仍在扑救中# 愿平安！】今天下午，重庆市涪陵区城区周边发生山火。重庆市消防救援总队表示，目前山火仍在扑救过程中，暂无人员伤亡。持续关注，愿平安！via.央视新闻 ?,blue,0,3,12
蘅蘅倒騎小毛馿去趕集,08月17日 22:44,//weibo.com/1952559835/M1vh6DeMO?refer_flag=1001030103_,#重庆涪陵突发山火#人在涪陵，阳台看到对面滚滚浓烟 ?,yellow,0,1,0
扭鹿腰,08月17日 22:44,//weibo.com/1789433442/M1vh6nQl7?refer_flag=1001030103_,#涪陵山火#一定要平安，希望火势快点被控制住。我看我爸发的视频都看了一个小时了，结果越燃越大。今天涪陵太多处山火了，重庆啊，你快点下场雨吧保佑平安，我看着太吓人了 ?,yellow,0,2,4
泡泡店长10174,08月17日 22:44,//weibo.com/5595849105/M1vgVox0R?refer_flag=1001030103_,【海客新闻】8月17日晚，涪陵北山坪突发山火，后续情况正在了解中。 现场：重庆涪陵北山坪突发山火 消防紧急赶赴灭火 O网页链接 ?,yellow,0,0,1
山西青年报,08月17日 22:44,//weibo.com/1789594967/M1vgUdHgx?refer_flag=1001030103_,【愿平安！#重庆涪陵突发山火#】记者从重庆涪陵市民获悉，8月17日晚，涪陵北山坪突发山火，后续情况正在了解中。 L人民日报的微博视频 ?,blue,0,0,0
Umy的日常,08月17日 22:44,//weibo.com/1878644032/M1vgKwTPU?refer_flag=1001030103_,#山火##涪陵山火# 今年夏天真的太热了，最近刚有一位重庆的消防员牺牲，今天又出现了这么大的山火，唉希望所有前线的消防员都能平安，希望山火尽快熄灭，希望这个炎热的夏天快点过去吧。 ?,yellow,0,0,1
利刃空天,08月17日 22:44,//weibo.com/6209092845/M1vgJzh52?refer_flag=1001030103_,#涪陵山火#【#重庆涪陵山火仍在扑救中# 愿平安！】今天下午，重庆市涪陵区城区周边发生山火。重庆市消防救援总队表示，目前山火仍在扑救过程中，暂无人员伤亡。持续关注，愿平安！（央视记者伍黎明 杨洋） ???,gold,0,0,1
听堂FM,08月17日 22:43,//weibo.com/1796086707/M1vgHvb0l?refer_flag=1001030103_,#涪陵山火#【#重庆涪陵山火仍在扑救中# 愿平安！】今天下午，重庆市涪陵区城区周边发生山火。重庆市消防救援总队表示，目前山火仍在扑救过程中，暂无人员伤亡。持续关注，愿平安！（央视新闻） ???,blue,0,0,1
寰亚SYHP,08月17日 22:43,//weibo.com/5393135816/M1vgEBaQm?refer_flag=1001030103_,#重庆涪陵突发山火#8月17日晚，重庆涪陵北山坪突发山火。 ? L寰亚SYHP的微博视频 ?,gold,37,106,362
lxstar123,08月17日 22:43,//weibo.com/5660016087/M1vgBEWi8?refer_flag=1001030103_,#重庆涪陵突发山火#一定要平安！！！ ?,yellow,0,0,0
April-静静,08月17日 22:43,//weibo.com/5147783422/M1vgBzt9f?refer_flag=1001030103_,#重庆涪陵突发山火#希望平安，尽快灭火? ?,yellow,1,0,2
战-鸢止,08月17日 22:43,//weibo.com/7211551442/M1vgzwsDR?refer_flag=1001030103_,#涪陵山火#  不要重庆加油！ ?,yellow,0,0,0
李连源,08月17日 22:43,//weibo.com/1233302995/M1vgziauH?refer_flag=1001030103_,【愿平安！#重庆涪陵突发山火#】记者从重庆涪陵市民获悉，8月17日晚，涪陵北山坪突发山火，后续情况正在了解中。（人民日报记者刘新吾）  L人民日报的微博视频 ?,yellow,0,0,1
湖南工业大学青志联体育学院分会,08月17日 22:43,//weibo.com/6360374503/M1vgxd0p7?refer_flag=1001030103_,#涪陵山火#【#重庆涪陵山火仍在扑救中# 愿平安！】今天下午，重庆市涪陵区城区周边发生山火。重庆市消防救援总队表示，目前山火仍在扑救过程中，暂无人员伤亡。持续关注，愿平安！（总台记者伍黎明 杨洋） ???@湖南工业大学青年志愿者联合会 ?,yellow,0,0,1
大象融媒,08月17日 22:43,//weibo.com/5312228022/M1vgtE2Vl?refer_flag=1001030103_,#重庆涪陵突发山火暂无人员伤亡#【#重庆涪陵区突发山火# 消防正在现场扑救】8月17日下午，涪陵区城区周边发生山火。重庆市消防救援总队表示，目前山火仍在扑救过程中，重庆市应急管理局回应记者称暂无人员伤亡。（央视新闻） L红星新闻的微博视频 ?,blue,0,0,1
二零四妮子,08月17日 22:43,//weibo.com/1993130175/M1vgrCaPf?refer_flag=1001030103_,#涪陵山火#重庆今年高温天气持续时间太久了，我们这里都已经发了封山令。希望山火早点扑灭，所有人都平平安安。 ?,yellow,0,0,0
不怕达扑爬,08月17日 22:43,//weibo.com/5873344788/M1vgnrPgZ?refer_flag=1001030103_,#重庆涪陵突发山火#救援人员辛苦了，希望大家都平安 ?,yellow,0,0,2
你的然男神,08月17日 22:43,//weibo.com/6304066229/M1vgnrO3R?refer_flag=1001030103_,#重庆涪陵突发山火#战友们要平安归来！ ?,yellow,0,0,0
紫生紫生,08月17日 22:43,//weibo.com/7041013163/M1vgkvBUC?refer_flag=1001030103_,#涪陵山火#啊消防员一定要全须全尾回来。重庆这段时间太干旱太热了，估计不好扑灭。希望调点无人机灭火过去，这个气候靠人力太难了 ?,yellow,0,0,2
番茄味的番茄酱i,08月17日 22:42,//weibo.com/6574088518/M1vgeg4Sw?refer_flag=1001030103_,#涪陵山火##重庆涪陵#  2重庆 L番茄味的番茄酱i的微博视频 ?,yellow,0,0,0
我真的不想当校草,08月17日 22:42,//weibo.com/7212326385/M1vgdDjEF?refer_flag=1001030103_,#涪陵山火#祝消防员平平安安 真的给重庆这个温度跪了 ?,yellow,0,0,0
京华同心,08月17日 22:42,//weibo.com/7397480141/M1vgdmQCS?refer_flag=1001030103_,【愿平安！#重庆涪陵突发山火#】记者从重庆涪陵市民获悉，8月17日晚，涪陵北山坪突发山火，后续情况正在了解中。（人民日报）  L人民日报的微博视频 ???,blue,0,0,0
海盐云朵,08月17日 22:42,//weibo.com/7416993307/M1vg878MG?refer_flag=1001030103_,#重庆涪陵突发山火#希望一切平安? ?,yellow,0,0,0
TT是酷盖,08月17日 22:42,//weibo.com/5949059614/M1vg7bHmA?refer_flag=1001030103_,#重庆涪陵突发山火#一定要好好的呀，我的涪陵 ?,yellow,0,0,1
小喻要快乐呀,08月17日 22:42,//weibo.com/5626431694/M1vg6yXrD?refer_flag=1001030103_,愿平安????#重庆涪陵北山坪发生山火# ?,yellow,0,1,1
点时新闻,08月17日 22:42,//weibo.com/7472856103/M1vg6349u?refer_flag=1001030103_,#重庆涪陵突发山火暂无人员伤亡#【#重庆涪陵区突发山火# 消防正在现场扑救】8月17日下午，涪陵区城区周边发生山火。重庆市消防救援总队表示，目前山火仍在扑救过程中，重庆市应急管理局回应记者称暂无人员伤亡。（央视新闻） L红星新闻的微博视频 ?,blue,0,1,1
励志做互联网冲浪达人,08月17日 22:42,//weibo.com/7783301613/M1vg57CRN?refer_flag=1001030103_,#重庆涪陵北山坪发生山火#愿平安??? ?,yellow,0,0,0
吃个泡泡鱼,08月17日 22:42,//weibo.com/6547746918/M1vg3EVVe?refer_flag=1001030103_,#涪陵山火#愿平安??? 重庆快点下雨！！ ?,yellow,0,0,0
芝心系焗蟹,08月17日 22:42,//weibo.com/7111781346/M1vg3EW9M?refer_flag=1001030103_,#重庆涪陵突发山火#好可怕，愿平平安安??? ?,yellow,0,0,0
青山独归远yi,08月17日 22:42,//weibo.com/5749608181/M1vg2aiBX?refer_flag=1001030103_,#重庆涪陵突发山火#消防员一定要平平安安归来 ?,yellow,0,0,0
黄龙检察,08月17日 22:42,//weibo.com/3540153945/M1vfZvHEP?refer_flag=1001030103_,【森林发生火灾如何逃生】森林火灾发生后，火势因受地形、植被、气候等因素的影响而瞬息万变，险情哪怕是专业的救火队员，都难以预料，面对突如其来的危险，想要成功逃生，关键是要想办法逃开高危火环境、迅速避险。  ???据人民日报～#涪陵山火##重庆涪陵突发山火#，救援人员都要平安#法姐分享##检察关注# @四川监狱 @四川消防 @法治四川 转给更多人 收起d,blue,1,2,4
陕西都市快报,08月17日 22:42,//weibo.com/1915671961/M1vfYBmyl?refer_flag=1001030103_,【愿平安！#重庆涪陵突发山火#】记者从重庆涪陵市民获悉，8月17日晚，涪陵北山坪突发山火，后续情况正在了解中。（人民日报）  #涪陵山火# L人民日报的微博视频 ???,blue,0,1,2
宋十万八千里,08月17日 22:42,//weibo.com/6999049816/M1vfYzaWt?refer_flag=1001030103_,#重庆涪陵突发山火#都要平平安安的 ?,yellow,0,0,2
新京报我们视频,08月17日 22:42,//weibo.com/6124642021/M1vfYkQfD?refer_flag=1001030103_,【#重庆涪陵突发山火#】@人民日报 从重庆涪陵市民获悉，8月17日晚，涪陵北山坪突发山火，后续情况正在了解中。#涪陵山火# L人民日报的微博视频 ?,blue,6,5,15
快乐七号簿,08月17日 22:42,//weibo.com/7684582384/M1vfWxi3J?refer_flag=1001030103_,#涪陵山火#救…我的天哪，好严重，注意安全，希望最后都没事。???重庆这天气真的…………… ?,yellow,0,0,0
紫烟缭绕sally,08月17日 22:41,//weibo.com/1679728014/M1vfQneHy?refer_flag=1001030103_,#重庆涪陵突发山火#祈求平安 ?,yellow,0,0,0
重庆文娱资讯,08月17日 22:41,//weibo.com/2661641343/M1vfOyyZ4?refer_flag=1001030103_,#涪陵山火# 8月17日晚，重庆涪陵北山坪突发山火。网友发布的视频显示，火焰蔓延半边山坡，现场浓烟滚滚，火势不小，愿平安！???#重庆涪陵发生山火# 2重庆 L重庆文娱资讯的微博视频 ?,gold,115,127,140
lxiang_Chrisbro,08月17日 22:41,//weibo.com/7007776025/M1vfNnIUJ?refer_flag=1001030103_,#重庆涪陵突发山火#把本涪陵人吓得起飞 ?,yellow,0,14,11
青晨视频,08月17日 22:41,//weibo.com/6174413689/M1vfMvAr0?refer_flag=1001030103_,【#重庆涪陵发生山火#：火焰蔓延半边山坡 浓烟滚滚】据人民日报消息，8月17日晚，重庆涪陵北山坪突发山火。网友发布的视频显示，火焰蔓延半边山坡，现场浓烟滚滚。@沸点壹刻 L沸点壹刻的微博视频 ?,blue,0,0,0
燕赵都市报纵览新闻,08月17日 22:41,//weibo.com/1738004582/M1vfLz47B?refer_flag=1001030103_,【愿平安！#重庆涪陵突发山火#】记者从重庆涪陵市民获悉，8月17日晚，涪陵北山坪突发山火，后续情况正在了解中。（人民日报）  L人民日报的微博视频 ?,blue,1,1,3
小玺的梨涡_,08月17日 22:41,//weibo.com/7283783269/M1vfKtHZG?refer_flag=1001030103_,#重庆涪陵突发山火#在蔓延 看着好揪心一定要平安 ?,yellow,0,0,3
YuanForANN,08月17日 22:41,//weibo.com/5743367765/M1vfKrwmS?refer_flag=1001030103_,#重庆涪陵突发山火#愿大家都平安！ ?,yellow,0,0,1
广州消防,08月17日 22:41,//weibo.com/2143914072/M1vfF5ePW?refer_flag=1001030103_,【森林防火小知识】森林火灾，重在预防，需要我们做到不携带火种进山、不在林区吸烟、不在山上野炊、不在野外烧纸、监护未成年人不在野外玩火……更多森林防火小知识，戳视频了解↓↓#涪陵山火##重庆涪陵山火仍在扑救中#消防小超人 L应急管理部的微博视频 ?,blue,2,4,9
微资讯,08月17日 22:41,//weibo.com/7761805397/M1vfBysWA?refer_flag=1001030103_,【#官方回应涪陵发生山火# 愿平安！】今天下午，重庆市涪陵区城区周边发生山火。重庆市消防救援总队表示，目前山火仍在扑救过程中，暂无人员伤亡。持续关注，愿平安！@央视新闻 ????,blue,0,0,0
武城交警大队,08月17日 22:41,//weibo.com/1958129523/M1vfBj4xN?refer_flag=1001030103_,【愿平安！#重庆涪陵突发山火#】记者从重庆涪陵市民获悉，8月17日晚，涪陵北山坪突发山火，后续情况正在了解中。（人民日报记者刘新吾）  L人民日报的微博视频 ?,blue,0,3,1
顺我的和我今年都上岸,08月17日 22:41,//weibo.com/5535983615/M1vfAqVgD?refer_flag=1001030103_,#重庆涪陵突发山火#快点下一场雨，扑灭了算了 ?,yellow,0,2,2
远道而来的雲U,08月17日 22:41,//weibo.com/5239519147/M1vfyA5eo?refer_flag=1001030103_,#涪陵山火#麻了 重庆今年真的是在渡劫吧 ?,yellow,0,3,0
华商网,08月17日 22:40,//weibo.com/1644855075/M1vfssebJ?refer_flag=1001030103_,【愿平安！#重庆涪陵突发山火#】记者从重庆涪陵市民获悉，8月17日晚，涪陵北山坪突发山火，后续情况正在了解中。（人民日报记者刘新吾）  L人民日报的微博视频 ?,blue,1,0,4
金沙检察,08月17日 22:40,//weibo.com/5623238595/M1vfsaDbA?refer_flag=1001030103_,#涪陵山火#【#重庆涪陵山火仍在扑救中# 愿平安！】今天下午，重庆市涪陵区城区周边发生山火。重庆市消防救援总队表示，目前山火仍在扑救过程中，暂无人员伤亡。持续关注，愿平安！ ???,blue,0,0,1
风挽竹笛,08月17日 22:40,//weibo.com/2728159177/M1vfrxTm2?refer_flag=1001030103_,#涪陵山火#萧敬腾来重庆开演唱会吧！！！ ?,yellow,0,2,4
莜子里,08月17日 22:40,//weibo.com/1770435333/M1vfogLEQ?refer_flag=1001030103_,#涪陵山火#重庆多山，这两个月天天高温，很多树都枯死了，山火很容易蔓延开，希望消防员平安 ?,yellow,0,0,2
1zuohong67,08月17日 22:40,//weibo.com/1649755443/M1vfn5Vni?refer_flag=1001030103_,《重庆涪陵区发生山火 消防正在现场扑救》重庆涪陵区发生山火 消防正在现场扑救O网页链接 抓紧时间扑灭 ?,yellow,0,0,0
舞步翩跹的女王,08月17日 22:40,//weibo.com/5844500611/M1vfmxBua?refer_flag=1001030103_,《现场：重庆涪陵北山坪突发山火 消防紧急赶赴灭火》O网页链接 ?,yellow,0,0,0
寰球镜头,08月17日 22:40,//weibo.com/7188247797/M1vfms6Ow?refer_flag=1001030103_,愿平安?#涪陵山火# 记者从重庆涪陵市民获悉，8月17日晚，涪陵北山坪突发山火，后续情况正在了解中。（人民日报） L人民日报的微博视频 ???,gold,7,7,25
花落丿似凋零丶,08月17日 22:40,//weibo.com/6603465498/M1vfl0KA9?refer_flag=1001030103_,#涪陵山火#刚在B站看到一个重庆车主放鸡蛋在车里晒熟的视频，没想到就发生天灾了 ?,yellow,0,0,0
秀儿姐现在爱肖春生,08月17日 22:40,//weibo.com/2732839950/M1vfjdb8q?refer_flag=1001030103_,#重庆涪陵突发山火#祈祷平安！??? ?,yellow,0,0,3
萌zer,08月17日 22:40,//weibo.com/7686897635/M1vfiCFbe?refer_flag=1001030103_,#重庆涪陵突发山火#希望人员安全，哈利路亚 ?,yellow,0,0,0
谈谈ive,08月17日 22:40,//weibo.com/6932444840/M1vffmDIl?refer_flag=1001030103_,#涪陵山火##重庆涪陵山火仍在扑救中# 消防官兵们一定要全部平平安安归来啊！ ?,yellow,0,0,0
从不担心秃头,08月17日 22:40,//weibo.com/6112460362/M1vff7dKs?refer_flag=1001030103_,#重庆涪陵突发山火#平安 ?,yellow,0,0,0
萧潇_呀,08月17日 22:40,//weibo.com/2502253432/M1vf8mF0n?refer_flag=1001030103_,"#涪陵山火#重庆这温度,想想就头皮发麻。 ?",yellow,0,0,0
文教艺在线,08月17日 22:40,//weibo.com/5592704247/M1vf77rcC?refer_flag=1001030103_,【愿平安！#重庆涪陵突发山火#】记者从重庆涪陵市民获悉，8月17日晚，涪陵北山坪突发山火，后续情况正在了解中。（人民日报记者刘新吾）  L人民日报的微博视频 ???,blue,0,0,0
西安鹅毛扇,08月17日 22:40,//weibo.com/2202088231/M1vf6wU5l?refer_flag=1001030103_,【愿平安！#重庆涪陵突发山火#】记者从重庆涪陵市民获悉，8月17日晚，涪陵北山坪突发山火，后续情况正在了解中。（人民日报记者刘新吾）  L人民日报的微博视频 ?,yellow,0,0,0
烟梦吖,08月17日 22:40,//weibo.com/2945198097/M1vf6uHky?refer_flag=1001030103_,#重庆涪陵山火仍在扑救中#愿平安！ ?,yellow,0,0,3
元仙仙馆,08月17日 22:39,//weibo.com/1350446635/M1vf4tUKA?refer_flag=1001030103_,#重庆涪陵突发山火#今明后！稳住！ ?,yellow,0,0,2
张凯-Mix,08月17日 22:39,//weibo.com/1026066585/M1vf1wAmg?refer_flag=1001030103_,"现场：重庆涪陵北山坪突发山火 消防紧急赶赴灭火,社会,民生,好看视频 O网页链接 ?",yellow,0,0,0
新浪四川,08月17日 22:39,//weibo.com/1649469284/M1vf0jy4A?refer_flag=1001030103_,#涪陵山火#【#重庆涪陵山火仍在扑救中# 愿平安！】今天下午，重庆市涪陵区城区周边发生山火。重庆市消防救援总队表示，目前山火仍在扑救过程中，暂无人员伤亡。持续关注，愿平安！L人民日报的微博视频 （央视新闻） ?,blue,1,1,7
果壳趣科,08月17日 22:39,//weibo.com/1837260653/M1vf0jy0V?refer_flag=1001030103_,【#重庆涪陵发生山火#：火焰蔓延半边山坡 浓烟滚滚】据人民日报消息，8月17日晚，重庆涪陵北山坪突发山火。网友发布的视频显示，火焰蔓延半边山坡，现场浓烟滚滚。@沸点壹刻 L沸点壹刻的微博视频 ?,yellow,0,0,1
拿铁不加TTANG,08月17日 22:39,//weibo.com/1940901995/M1vf06nae?refer_flag=1001030103_,"#涪陵山火#  大重庆怎么办啊，嘉陵江干涸，山火又来，后面几天还要连续43,4度，太不安了，天佑重庆???? ?",yellow,0,0,1
安徽日报,08月17日 22:39,//weibo.com/3120845115/M1veZpdKI?refer_flag=1001030103_,【愿平安！#重庆涪陵突发山火#】记者从重庆涪陵市民获悉，8月17日晚，涪陵北山坪突发山火，后续情况正在了解中。L人民日报的微博视频 ?,blue,0,1,0
圆圆早点睡哦,08月17日 22:39,//weibo.com/5874576747/M1veZc24H?refer_flag=1001030103_,#重庆涪陵突发山火#希望大家都平平安安??? ?,yellow,0,0,2
我是不是吃饭用盆的人,08月17日 22:39,//weibo.com/7402094519/M1veYjTBR?refer_flag=1001030103_,#重庆涪陵山火仍在扑救中#愿山城平安 ?,yellow,0,0,1
正人力天,08月17日 22:39,//weibo.com/1746743117/M1veY05nS?refer_flag=1001030103_,高温加山火……#涪陵山火#【现场：重庆涪陵北山坪突发山火 消防紧急赶赴灭火】8月17日晚，涪陵北山坪突发山火。重庆市消防救援总队表示，目前山火仍在扑救过程中，重庆市应急管理局回应记者称暂无人员伤亡。  L海客新闻的微博视频 ???,gold,0,0,0
